SoftwareWeb,Data Science,Human Resource,SocMeMarketing,Internship,Content
0,1,0,0,Research Internship at Intel,Current student pursuing an MS or a Ph.D. program in Computer Science andor ElectricalComputer Engineering Research experience obtained through your educational level research andor relevant jobinternship experiences Experience developing and utilizing prototyping in order to establish and answer a research question 2 years of experience with CC++ system programming language Familiarity with computer architecture concepts Experience with AI Frameworks (e.g. TensorFlow  Caffe  etc.) or visual data processing libraries (e.g. OpenCV) Experience with distributed systems  database development  a graph database Familiarity with workload characterization and HW performance modeling Experience with developing Ninja code  familiarity with Python is preferred Experience developing open-source software
0,0,0,1,Marketing Internship at UNIVERSAL TRIBES,Understanding the Nature of Business and Product Details Product Presentation Leads and Sales Generation Creating Marketing Pitches Digital Marketing and New Vendor Registration Interacting with Potential Customers for Demonstration and Presentation Conducting Research
0,0,0,1,SOCIAL MEDIA MARKETING INTERNSHIP | LITTLE HAND FOUNDATION,Create Awareness Social Media Promotions Cultivation of leads Support in raising the funds Help in reaching people
1,0,0,0,UIUX Design PillarPlus,Conducting user research interviews and surveys and using the information to create sitemaps customer journey maps wireframes and prototypes Working on Figma Creating the UIUX of a vendor management system
0,0,0,1,Research & Promotions Manager | Evepaper,Good communication skills Excellent networking skills Active on social media Diligence research on assigned topics using the internet promote our website and e-Paper engage in group activities give creative suggestions and develop promotion strategies get engaged in many opportunities provided by Evepaer
0,0,0,1,Content Writing at Conde Nast India,Writing about beauty and the current trends around it Uploading articles on digital platforms Writing articles Writing captions Organising folders Liaising with different teams for technical coordination
0,0,1,0,Human Resources at Aashman foundation,Create internship drives in college campuses Use online medium to enroll candidates Screen resumes and application forms Schedule and confirmed interviews with candidates Post update & remove internship ads from intern boards career pages and social networks Prepare HR-related report's as needed (like training budget by department) Participate in organizing company events and careers
0,1,0,0,Risk Analytics Internship at Cisco,Excellent communication skills Vigilant and forward-thinking with attention to detail Collaborative and willing to give and receive feedback Passionate about technology and compliance Knowledge of risk governance policies compliance upcoming and existing regulations and reporting laws Familiar with audit processes and methodologies Assess mitigate report and prevent risk to business activities and operations Assure compliance with government and organization-wide procedures Create protocols to reduce exposure to legalcompliance problems for current and proposed business and financial processesstructures Support organizational processes and programs for mitigation of regulatory and financial risk including administration of insurance Assess risk for outages and creates protocols to respond and maintain business continuity Participate in a variety of professional development opportunities network with the senior executive leadership team give back to your local community and socialize with a community of global technologist
0,0,0,1,Customer Project Internship at Cisco,Plan specify and maintain projects in line with the strategic planroadmap Plan and monitor project execution manage risks and resolve issues as appropriate to ensure projects are executed within the agreed schedule cost and performance Work closely with and provide support to the relevant stakeholders Ensure those project deliverables are to the appropriate levels of quality on schedule within budget and in accordance with the project plans Manage third party contributions to the projects as appropriate Create project schedule and project management plan with financial resource and material requirements Ensure project deliverables are to the appropriate levels of quality on schedule within budget and in accordance with the project plans Resolve issues as appropriate to ensure projects are executed within the agreed schedule cost and performance Identify risks and deploying risk avoidance strategies and mitigation actions as appropriate
1,0,0,0,SOFTWARE DEVELOPER INTERN | PHILIPS,Supporting issue investigation maintenance complaints handling Completing the life cycle of software development Developing the work with a focus on consumer needs and technological competitiveness and keeping this outside-in approach in mind for the code created Combining existing andor purchased modules into components which can be integrated into the subsystem Knowledge of developing applications in CC++ Knowledge of SDLC Preferably worked on Windows platform Understanding of OS fundamentals Good hands-on coding knowledge Good communication skills Self-starter and quick learner and ability to work in a global team setting with minimal supervision
